budget_id,category_id,month,budget_amount
89,5,2023-03-01,403.04
90,6,2023-03-01,290.87
91,1,2023-04-01,630.88
92,2,2023-04-01,1387.35
93,3,2023-04-01,596.32
94,4,2023-04-01,481.56
95,5,2023-04-01,310.23
96,6,2023-04-01,269.51
97,1,2023-05-01,664.23
98,2,2023-05-01,1405.75
99,3,2023-05-01,621.31
100,4,2023-05-01,479.68
101,5,2023-05-01,419.35
102,6,2023-05-01,251.33
103,1,2023-06-01,725.71
104,2,2023-06-01,1330.97
105,3,2023-06-01,552.54
106,4,2023-06-01,569.69
107,5,2023-06-01,371.51
108,6,2023-06-01,316.69
109,1,2023-07-01,630.79
110,2,2023-07-01,1336.52
111,3,2023-07-01,637.56
112,4,2023-07-01,534.25
113,5,2023-07-01,413.27
114,6,2023-07-01,351.85
115,1,2023-08-01,655.24
116,2,2023-08-01,1372.29
117,3,2023-08-01,670.17
118,4,2023-08-01,483.16
119,5,2023-08-01,386.34
120,6,2023-08-01,335.77
121,1,2023-09-01,688.31
122,2,2023-09-01,1321.08
123,3,2023-09-01,546.44
124,4,2023-09-01,475.36
125,5,2023-09-01,391.90
126,6,2023-09-01,308.88
127,1,2023-10-01,755.92
128,2,2023-10-01,1462.47
129,3,2023-10-01,580.25
130,4,2023-10-01,481.79
131,5,2023-10-01,355.93
132,6,2023-10-01,339.33
133,1,2023-11-01,770.95
134,2,2023-11-01,1354.02
135,3,2023-11-01,625.60
136,4,2023-11-01,451.14
137,5,2023-11-01,429.02
138,6,2023-11-01,285.39
139,1,2023-12-01,795.10
140,2,2023-12-01,1738.68
141,3,2023-12-01,766.67
142,4,2023-12-01,568.56
143,5,2023-12-01,444.11
144,6,2023-12-01,421.11
145,1,2024-01-01,757.23
146,2,2024-01-01,1449.75
147,3,2024-01-01,664.82
148,4,2024-01-01,474.50
149,5,2024-01-01,285.40
150,6,2024-01-01,378.11
151,1,2024-02-01,677.05
152,2,2024-02-01,1470.81
153,3,2024-02-01,616.79
154,4,2024-02-01,493.94
155,5,2024-02-01,405.12
156,6,2024-02-01,369.13
157,1,2024-03-01,746.08
158,2,2024-03-01,1422.80
159,3,2024-03-01,594.98
160,4,2024-03-01,484.56
161,5,2024-03-01,353.70
162,6,2024-03-01,224.30
163,1,2024-04-01,642.07
164,2,2024-04-01,1447.23
165,3,2024-04-01,590.90
166,4,2024-04-01,462.96
167,5,2024-04-01,325.35
168,6,2024-04-01,307.38
169,1,2024-05-01,749.71
170,2,2024-05-01,1393.68
171,3,2024-05-01,585.07
172,4,2024-05-01,437.20
173,5,2024-05-01,292.49
174,6,2024-05-01,255.80
175,1,2024-06-01,756.38
176,2,2024-06-01,1354.89
177,3,2024-06-01,582.52
178,4,2024-06-01,502.13
179,5,2024-06-01,411.00
180,6,2024-06-01,362.52
181,1,2024-07-01,776.92
182,2,2024-07-01,1369.56
183,3,2024-07-01,591.98
184,4,2024-07-01,504.46
185,5,2024-07-01,307.86
186,6,2024-07-01,252.03
187,1,2024-08-01,660.79
188,2,2024-08-01,1340.33
189,3,2024-08-01,638.19
190,4,2024-08-01,528.20
191,5,2024-08-01,379.81
192,6,2024-08-01,242.91
193,1,2024-09-01,696.94
194,2,2024-09-01,1321.01
195,3,2024-09-01,626.71
196,4,2024-09-01,458.02
197,5,2024-09-01,394.37
198,6,2024-09-01,231.55
199,1,2024-10-01,683.17
200,2,2024-10-01,1412.60
201,3,2024-10-01,608.29
202,4,2024-10-01,438.73
203,5,2024-10-01,396.00
204,6,2024-10-01,362.20
205,1,2024-11-01,752.71
206,2,2024-11-01,1407.95
207,3,2024-11-01,654.82
208,4,2024-11-01,526.52
209,5,2024-11-01,414.19
210,6,2024-11-01,341.34
211,1,2024-12-01,918.22
212,2,2024-12-01,1704.28
213,3,2024-12-01,697.87
214,4,2024-12-01,615.28
215,5,2024-12-01,484.25
216,6,2024-12-01,411.84
217,1,2025-01-01,776.89
218,2,2025-01-01,1380.26
219,3,2025-01-01,650.46
220,4,2025-01-01,527.77
221,5,2025-01-01,313.31
222,6,2025-01-01,270.83
223,1,2025-02-01,659.95
224,2,2025-02-01,1474.42
225,3,2025-02-01,626.92
226,4,2025-02-01,559.52
227,5,2025-02-01,402.57
228,6,2025-02-01,341.71
229,1,2025-03-01,758.43
230,2,2025-03-01,1396.10
231,3,2025-03-01,588.43
232,4,2025-03-01,579.40
233,5,2025-03-01,285.66
234,6,2025-03-01,357.93
235,1,2025-04-01,682.77
236,2,2025-04-01,1422.14
237,3,2025-04-01,637.11
238,4,2025-04-01,472.89
239,5,2025-04-01,293.67
240,6,2025-04-01,329.37
241,1,2025-05-01,725.98
242,2,2025-05-01,1476.76
243,3,2025-05-01,601.11
244,4,2025-05-01,441.60
245,5,2025-05-01,383.43
246,6,2025-05-01,341.55
247,1,2025-06-01,720.35
248,2,2025-06-01,1372.88
249,3,2025-06-01,609.24
250,4,2025-06-01,510.33
251,5,2025-06-01,412.49
252,6,2025-06-01,298.74
253,1,2025-07-01,778.56
254,2,2025-07-01,1421.05
255,3,2025-07-01,527.43
256,4,2025-07-01,473.17
257,5,2025-07-01,337.58
258,6,2025-07-01,371.06
259,1,2025-08-01,753.88
260,2,2025-08-01,1465.93
261,3,2025-08-01,633.79
262,4,2025-08-01,534.22
263,5,2025-08-01,361.43
264,6,2025-08-01,284.39
265,1,2025-09-01,694.51
266,2,2025-09-01,1449.13
267,3,2025-09-01,659.56
268,4,2025-09-01,539.65
269,5,2025-09-01,270.14
270,6,2025-09-01,344.85
271,1,2025-10-01,653.16
272,2,2025-10-01,1369.22
273,3,2025-10-01,576.01
274,4,2025-10-01,545.43
275,5,2025-10-01,296.23
276,6,2025-10-01,323.32
277,1,2025-11-01,689.10
278,2,2025-11-01,1391.94
279,3,2025-11-01,520.19
280,4,2025-11-01,494.78
281,5,2025-11-01,413.35
282,6,2025-11-01,359.69
283,1,2025-12-01,828.68
284,2,2025-12-01,1677.11
285,3,2025-12-01,762.28
286,4,2025-12-01,578.57
287,5,2025-12-01,393.22
288,6,2025-12-01,337.14
